日期,單號,類型,對象,對象類型,品項,類目,數量,單價,金額,教育專案,狀態
2026-06-29,PO000089,進貨,原廠 X,原廠,iPad 教育版 B,平板載具,8,14310,114480,—,正常
2026-06-29,PO000102,進貨,原廠 Z,原廠,MacBook 教育版 C,筆電,5,34686,173430,—,正常
2026-06-29,PO000129,進貨,原廠 X,原廠,觸控筆 H,週邊配件,145,1730,250850,—,正常
2026-06-29,PO000146,進貨,原廠 Y,原廠,平板保護殼 D,週邊配件,128,515,65920,—,正常
2026-06-29,RMA000235,退貨,校 H,學校,平板保護殼 D,週邊配件,3,990,2970,EDU-006,退貨
2026-06-29,SO000010,出貨,校 P,學校,iPad 教育版 A,平板載具,6,11900,71400,EDU-002,正常
2026-06-29,SO000011,出貨,校 E,學校,iPad 教育版 A,平板載具,6,11900,71400,EDU-007,正常
2026-06-29,SO000012,出貨,校 E,學校,iPad 教育版 A,平板載具,3,11900,35700,EDU-009,正常
2026-06-29,SO000017,出貨,校 E,學校,iPad 教育版 A,平板載具,3,11900,35700,EDU-011,正常
2026-06-29,SO000019,出貨,校 E,學校,iPad 教育版 A,平板載具,6,11900,71400,EDU-004,正常
2026-06-29,SO000020,出貨,校 E,學校,iPad 教育版 A,平板載具,1,11900,11900,EDU-007,正常
2026-06-29,SO000040,出貨,校 W,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-011,正常
2026-06-29,SO000043,出貨,校 K,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-005,正常
2026-06-29,SO000047,出貨,校 H,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-011,正常
2026-06-29,SO000051,出貨,校 E,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-004,正常
2026-06-29,SO000053,出貨,校 E,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-012,正常
2026-06-29,SO000063,出貨,校 C,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-006,正常
2026-06-29,SO000064,出貨,校 C,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-010,正常
2026-06-29,SO000067,出貨,校 C,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-002,正常
2026-06-29,SO000069,出貨,校 C,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-004,正常
2026-06-29,SO000070,出貨,校 C,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-001,正常
2026-06-29,SO000076,出貨,校 A,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-002,正常
2026-06-29,SO000083,出貨,校 P,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-004,正常
2026-06-29,SO000097,出貨,校 T,學校,MacBook 教育版 C,筆電,1,36900,36900,EDU-001,正常
2026-06-29,SO000107,出貨,校 W,學校,觸控筆 H,週邊配件,10,2790,27900,EDU-009,正常
2026-06-29,SO000115,出貨,校 K,學校,觸控筆 H,週邊配件,6,2790,16740,EDU-003,正常
2026-06-29,SO000117,出貨,校 K,學校,觸控筆 H,週邊配件,14,2790,39060,EDU-012,正常
2026-06-29,SO000124,出貨,校 E,學校,觸控筆 H,週邊配件,6,2790,16740,EDU-006,正常
2026-06-29,SO000136,出貨,校 W,學校,平板保護殼 D,週邊配件,22,990,21780,EDU-003,正常
2026-06-29,SO000148,出貨,校 A,學校,充電車 E,週邊配件,1,28900,28900,EDU-012,正常
2026-06-29,SO000149,出貨,校 W,學校,充電車 E,週邊配件,1,28900,28900,EDU-009,正常
2026-06-29,SO000168,出貨,校 W,學校,MDM 授權 G,MDM 授權,19,690,13110,EDU-007,正常
2026-06-29,SO000172,出貨,校 T,學校,MDM 授權 G,MDM 授權,8,690,5520,EDU-008,正常
2026-06-29,SO000199,出貨,校 C,學校,轉接器 J,週邊配件,1,890,890,EDU-008,正常
2026-06-29,SO000203,出貨,校 H,學校,轉接器 J,週邊配件,2,890,1780,EDU-004,正常
2026-06-29,SO000237,出貨,校 H,學校,MDM 授權 G,MDM 授權,3,690,2070,EDU-005,作廢
2026-06-29,SO000239,出貨,校 A,學校,螢幕 I,週邊配件,2,5990,11980,EDU-009,作廢
2026-06-29,SO000243,出貨,校 A,學校,iPad 教育版 B,平板載具,4,15900,63600,EDU-003,作廢
2026-06-29,TR000215,調撥,門市乙,門市,轉接器 J,週邊配件,19,—,—,—,調撥中
2026-06-29,TR000226,調撥,門市乙,門市,充電車 E,週邊配件,12,—,—,—,調撥中
2026-06-29,TR000229,調撥,門市丙,門市,螢幕 I,週邊配件,8,—,—,—,調撥中
2026-06-30,PO000037,進貨,原廠 Z,原廠,iPad 教育版 A,平板載具,27,10948,295596,—,正常
2026-06-30,PO000087,進貨,原廠 X,原廠,iPad 教育版 B,平板載具,15,14310,214650,—,正常
2026-06-30,PO000103,進貨,原廠 Z,原廠,MacBook 教育版 C,筆電,3,34686,104058,—,正常
2026-06-30,PO000195,進貨,原廠 Z,原廠,螢幕 I,週邊配件,9,4792,43128,—,正常
2026-06-30,RMA000236,退貨,校 H,學校,iPad 教育版 B,平板載具,6,15900,95400,EDU-012,退貨
2026-06-30,SO000009,出貨,校 P,學校,iPad 教育版 A,平板載具,4,11900,47600,EDU-006,正常
2026-06-30,SO000018,出貨,校 E,學校,iPad 教育版 A,平板載具,8,11900,95200,EDU-005,正常
2026-06-30,SO000025,出貨,校 C,學校,iPad 教育版 A,平板載具,4,11900,47600,EDU-009,正常
2026-06-30,SO000027,出貨,校 C,學校,iPad 教育版 A,平板載具,5,11900,59500,EDU-008,正常
2026-06-30,SO000029,出貨,校 K,學校,iPad 教育版 A,平板載具,8,11900,95200,EDU-001,正常
2026-06-30,SO000032,出貨,校 K,學校,iPad 教育版 A,平板載具,4,11900,47600,EDU-010,正常
2026-06-30,SO000034,出貨,校 K,學校,iPad 教育版 A,平板載具,5,11900,59500,EDU-011,正常
2026-06-30,SO000046,出貨,校 H,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-009,正常
2026-06-30,SO000056,出貨,校 E,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-011,正常
2026-06-30,SO000058,出貨,校 E,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-005,正常
2026-06-30,SO000084,出貨,校 P,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-004,正常
2026-06-30,SO000086,出貨,校 P,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-007,正常
2026-06-30,SO000093,出貨,校 W,學校,MacBook 教育版 C,筆電,3,36900,110700,EDU-004,正常
2026-06-30,SO000100,出貨,校 H,學校,MacBook 教育版 C,筆電,1,36900,36900,EDU-002,正常
2026-06-30,SO000108,出貨,校 W,學校,觸控筆 H,週邊配件,13,2790,36270,EDU-009,正常
2026-06-30,SO000111,出貨,校 W,學校,觸控筆 H,週邊配件,4,2790,11160,EDU-006,正常
2026-06-30,SO000120,出貨,校 T,學校,觸控筆 H,週邊配件,15,2790,41850,EDU-011,正常
2026-06-30,SO000125,出貨,校 E,學校,觸控筆 H,週邊配件,7,2790,19530,EDU-011,正常
2026-06-30,SO000135,出貨,校 W,學校,平板保護殼 D,週邊配件,19,990,18810,EDU-007,正常
2026-06-30,SO000139,出貨,校 C,學校,平板保護殼 D,週邊配件,38,990,37620,EDU-005,正常
