品項,類目,期末庫存,近4週均出貨,WOI(週),毛利率(%),庫存狀態,建議行動
iPad 教育版 A,平板載具,210.0,150,1.4,8.0,低庫存,補貨 390 件
iPad 教育版 B,平板載具,150.0,88,1.7,10.0,低庫存,補貨 202 件
MacBook 教育版 C,筆電,44.0,20,2.2,6.0,正常,維持
觸控筆 H,週邊配件,1300.0,220,5.91,38.0,正常,維持
平板保護殼 D,週邊配件,1700.0,300,5.67,48.0,正常,維持
充電車 E,週邊配件,120.0,7,17.14,22.0,積壓,促銷/清庫存
AP 無線基地台 F,網路裝置,240.0,55,4.36,25.0,正常,維持
螢幕 I,週邊配件,260.0,40,6.5,20.0,正常,維持
轉接器 J,週邊配件,900.0,175,5.14,44.9,正常,維持
,,,,,,,
=== 標案優先排序（達成率≥0.60，進行中）===,,,,,,,
全校 iPad 教學載具,校 A,1680000.0,交機中,2026-07-10,85%,,主動推進
行政 iPad 擴充,校 K,380000.0,決標前,2026-07-08,82%,,主動推進
圖書館自助借還,校 P,320000.0,決標前,2026-07-15,78%,,主動推進
教師 MacBook 汰換,校 C,890000.0,評選,2026-07-18,60%,,主動推進
